ID_ESCOLA,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LATITUDE,LONGITUDE
023,ESCOLA MUNICIPAL CERVANTES,BENTO RIBEIRO,RUA ABILIO DOS SANTOS 170,-22.86459,-43.36595
415,ESCOLA MUNICIPAL LUIZ DE CAMOES,COLEGIO,ESTRADA LUIZDE CAMOES 1446,-22.84604,-43.33867
016,CENTROS INTEGRADOS DE EDUCACAO PUBLICA JOAO BATISTA DOS SANTOS,CIDADE DE DEUS,RUA EDGAR WERNECK 1.565,-22.94711,-43.35974
570,ESCOLA MUNICIPAL HELENA LOPES ABRANCHES,GARDENIA AZUL,RUA ACAPORI 495,-22.96072,-43.35344
528,CENTROS INTEGRADOS DE EDUCACAO PUBLICA MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO SEM NUMERO,-23.01981,-43.48172
414,ESCOLA MUNICIPAL CLAUDIO BESSERMAN VIANNA - BUSSUNDA,RIO DAS PEDRAS,ESTRADA DE JACAREPAGUA 3327,-22.97336,-43.32916
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,RUA IGARAPE-ACU SEM NUMERO,-22.97199,-43.41011
202,ESCOLA MUNICIPAL PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA 387,-22.98173,-43.49164
550,ESCOLA MUNICIPAL 25 DE ABRIL,FREGUESIA JACAREPAGUA,RUA MAMORE 78,-22.93817,-43.34258
211,ESCOLA MUNICIPAL FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME 196,-22.91883,-43.41625
206,ESCOLA MUNICIPAL HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22.89693,-43.35267
492,ESCOLA MUNICIPAL MENEZES CORTES,FREGUESIA JACAREPAGUA,PRACA JOSE ALVES DE AZEVEDO 43,-22.94265,-43.33897
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUA FREI LUIZ ALEVATO SEM NUMERO,-22.93533,-43.36973
636,ESCOLA MUNICIPAL PABLO NERUDA,TAQUARA,ESTRADA DO MAPUA SEM NUMERO RUA 3,-22.92688,-43.38788
527,ESCOLA MUNICIPAL VIRGILIO VARZEA,PECHINCHA,RUA JOSE SILVA 155,-22.93253,-43.35113
586,CENTROS INTEGRADOS DE EDUCACAO PUBLICA ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ SEM NUMERO,-22.88179,-43.48733
080,ESCOLA MUNICIPAL JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA SEM NUMERO,-22.85044,-43.46686
398,ESCOLA MUNICIPAL LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI SEM NUMERO,-22.89253,-43.47295
175,ESCOLA MUNICIPAL NACOES UNIDAS,BANGU,RUA DOS LIMADORES SEM NUMERO,-22.88815,-43.47629
308,CENTROS INTEGRADOS DE EDUCACAO PUBLICA THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO SEM NUMERO,-22.86652,-43.42515
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,REALENGO,RUA MARECHAL BIBIANO COSTALAT 483-639,-22.87185,-43.43243
576,ESCOLA MUNICIPAL CORYNTHO DA FONSECA,REALENGO,RUA URUQUE SEM NUMERO,-22.85894,-43.44387
495,ESCOLA MUNICIPAL ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,AVENIDA DUQUE DE CAXIAS 170,-22.85609,-43.38661
379,CENTROS INTEGRADOS DE EDUCACAO PUBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES SEM NUMERO,-22.89558,-43.57051
641,ESCOLA MUNICIPAL LAURO MULLER,PADRE MIGUEL,RUA ROSA DE ALMEIDA 113,-22.88207,-43.44644
689,ESCOLA MUNICIPAL MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO 30,-22.86877,-43.45065
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL SEM NUMERO,-22.88346,-43.42945
477,ESCOLA MUNICIPAL PAULO MARANHAO,REALENGO,RUA DO GOVERNO 866,-22.89299,-43.44122
206,ESCOLA MUNICIPAL HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22896931.00000,-43352667.00000
687,ESCOLA MUNICIPAL TASSO DA SILVEIRA,REALENGO,RUA GENERAL BERNARDINO DE MATOS SEM NUMERO,-22.88386,-43.41733
568,ESCOLA MUNICIPAL VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUA TEOFILO GUIMARAES 604,-22.88908,-43.39248
399,CENTROS INTEGRADOS DE EDUCACAO PUBLICA CLEMENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA SEM NUMERO,-22.92529,-43.56665
255,CENTROS INTEGRADOS DE EDUCACAO PUBLICA FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA SEM NUMERO,-22.92529,-43.56665
262,CENTROS INTEGRADOS DE EDUCACAO PUBLICA HERIVELTO MARTINS,AUGUSTO VASCONCELOS,PRACA SANTO ANASTACIO SEM NUMERO,-22.88649,-43.52880
379,CENTROS INTEGRADOS DE EDUCACAO PUBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES SEM NUMERO,-22.89558,-43.57051
616,CENTROS INTEGRADOS DE EDUCACAO PUBLICA PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,RUA CONCHAS SEM NUMERO,-22.88730,-43.58736
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,RUA PEQUIA 97,-22.91097,-43.61605
144,ESCOLA MUNICIPAL ALFREDO CESARIO ALVIM,CAMPO GRANDE,RUA LUISA MARILAC 20,-22.92315,-43.51877
534,ESCOLA MUNICIPAL CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM SEM NUMERO KM 10 MENDANHA,-22.85878,-43.53705
342,ESCOLA MUNICIPAL FERNANDO COSTA,CAMPO GRANDE,RUA JOSE ALBANO SEM NUMERO,-22.89036,-43.59399
052,ESCOLA MUNICIPAL PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA SEM NUMERO,-22.90859,-43.58474
139,ESCOLA MUNICIPAL JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO 138,-22.91959,-43.54684
323,CENTROS INTEGRADOS DE EDUCACAO PUBLICA ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO SEM NUMERO,-22.93416,-43.66213
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS SEM NUMERO,-22.88855,-43.63805
